marker_00,marker_01,marker_02,marker_03,marker_04,marker_05,marker_06,marker_07,marker_08,marker_09,marker_10,marker_11,marker_12,marker_13,marker_14,marker_15,marker_16,marker_17,marker_18,marker_19,marker_20,marker_21,marker_22,marker_23,outcome
0.126,0.34,0.452,-1.49,-0.852,1.266,-0.922,0.732,-0.627,-1.419,-0.776,0.233,-1.543,1.226,-0.451,1.039,-0.871,1.059,-0.908,-0.152,-1.281,1.126,-0.445,0.961,0.541
-0.132,0.424,-0.375,1.384,-0.377,0.477,0.516,-1.404,1.201,0.545,-1.609,0.527,-1.576,1.193,-1.156,-0.321,0.292,0.338,0.256,0.132,0.902,-0.981,-1.263,-0.476,-1.16
0.64,0.371,-0.221,1.083,0.138,-2.516,-0.103,-2.657,0.144,-1.96,0.933,0.567,0.147,0.761,0.773,-1.481,1.239,0.114,-1.244,-1.192,-0.487,-0.25,0.847,-0.377,0.016
0.105,0.383,-0.53,-0.299,1.508,-0.313,0.04,-0.094,1.188,-0.752,0.271,0.282,-0.825,0.585,-1.111,-0.225,2.224,-0.973,-0.156,-1.501,0.898,-0.381,-0.294,0.636,-1.187
-0.536,0.319,-2.936,2.108,-0.166,0.144,-0.891,0.071,0.673,-0.366,0.494,0.75,1.305,-1.278,-0.867,1.693,1.324,0.628,-0.257,-0.136,0.265,-0.874,0.26,0.709,-1.158
0.362,-0.359,0.116,-0.349,0.472,0.481,0.804,-1.162,0.165,-1.345,1.452,0.946,-1.459,-1.115,1.537,1.609,0.698,2.379,-0.237,-0.417,-0.978,-1.193,0.419,-0.016,1.896
1.304,-1.902,-1.071,-1.137,1.374,0.152,0.692,0.272,-0.479,-1.117,0.669,-1.107,1.687,0.819,-1.046,-0.473,-0.688,-1.71,-0.14,0.202,0.255,0.06,0.591,0.104,1.272
0.947,-0.109,-1.003,-0.156,0.534,-0.636,0.862,-0.767,0.032,0.666,0.585,-0.379,-0.666,0.647,-0.656,0.308,0.077,-1.024,-1.408,1.357,-0.635,0.264,-0.213,0.961,1.061
-0.704,-0.804,-0.64,1.078,1.069,-0.116,2.227,0.403,0.828,0.292,0.749,0.87,0.223,0.518,-0.683,0.613,0.543,1.664,-0.55,-0.51,0.27,-0.277,-2.309,-0.844,-0.302
-1.265,1.08,0.732,-0.937,-0.477,0.295,-0.053,-0.326,0.698,-0.946,-1.065,0.489,0.223,0.84,0.785,-1.479,-0.122,0.512,1.285,-0.685,-0.404,0.562,-1.188,-1.194,-0.853
-0.623,-0.289,-1.171,1.951,0.771,-0.268,1.203,0.397,-1.196,0.529,-0.034,0.235,-0.344,-0.554,-1.836,-0.533,1.863,-0.296,1.164,0.978,1.01,0.312,0.565,0.801,-0.275
0.041,0.083,-1.434,-0.897,-0.058,-0.372,-0.124,-1.743,1.026,1.519,-1.206,0.672,-2.013,0.565,1.25,-0.405,-0.82,0.782,-0.581,-0.436,-0.712,1.012,1.947,0.392,-0.413
-2.325,-0.85,0.64,0.954,1.074,1.252,0.394,-0.438,-0.214,-1.282,-0.9,0.952,-0.482,-0.989,-0.243,0.404,-0.714,0.332,1.085,0.058,-0.368,0.043,-0.035,-0.698,-0.414
-0.219,-0.511,0.754,0.544,-1.004,-0.947,0.365,-0.149,0.815,0.061,-0.092,-0.858,1.522,0.062,-0.317,-0.51,0.38,-0.653,-0.94,-0.106,-0.7,0.153,1.38,-0.281,-0.181
-1.246,-0.012,-0.959,-0.154,-0.78,-0.349,0.265,-1.425,-0.697,1.977,1.062,-1.227,-1.281,0.929,-0.897,-1.397,2.007,-0.668,-1.364,1.879,-0.794,1.121,-2.377,-0.755,-0.3
-0.732,-1.485,0.562,1.081,1.269,-2.031,0.658,1.882,0.638,0.611,2.058,-1.154,-1.842,-0.677,-0.145,0.324,-1.813,0.855,-2.017,-1.683,-0.27,-0.432,1.49,-0.518,2.385
-0.544,0.301,-0.292,-1.5,-0.196,0.541,-0.304,-0.541,-0.797,0.813,-1.085,1.859,-0.219,1.953,1.47,-0.642,-0.846,0.343,-1.113,-0.821,0.214,0.462,-1.136,1.327,-0.22
-0.316,-0.106,0.301,1.358,-0.359,0.828,0.041,1.39,0.129,-0.2,0.173,-1.054,-0.412,1.134,0.213,-1.228,1.288,1.078,0.46,0.651,0.561,0.995,-1.013,0.054,-1.214
0.412,-1.186,-1.261,-0.064,0.078,0.548,0.535,-0.664,-0.298,-0.798,-0.071,-0.235,-1.293,1.372,-0.933,-1.225,-0.679,0.654,-0.326,1.16,0.051,0.903,-0.3,-1.109,1.759
1.043,-2.398,0.833,-0.542,-0.689,0.918,1.748,-0.23,-0.286,1.143,0.527,-0.185,-0.753,-0.211,-0.347,-0.223,2.059,-0.614,1.662,-1.029,-0.455,0.832,0.297,0.527,-0.614
-0.129,0.513,1.203,0.749,1.332,0.441,-0.842,1.184,-0.567,0.654,0.582,1.031,-0.481,-1.389,0.534,1.451,-0.822,1.524,0.839,1.179,-1.559,0.625,-1.198,0.53,-1.086
