weekly_exercise_hours,health_score,age
24.85,8.62,45.0
22.81,16.07,48.6
16.92,16.28,41.7
11.13,20.69,34.3
13.53,10.57,39.5
19.26,18.48,33.1
21.18,12.49,45.7
27.11,5.29,61.1
14.46,8.52,39.1
10.64,16.82,37.6
21.47,16.42,50.9
24.43,14.99,49.3
17.86,12.27,46.3
12.3,19.59,33.8
17.73,18.35,44.6
23.4,0.8,53.3
4.36,21.14,28.9
15.11,19.55,39.5
3.97,27.04,22.2
14.6,28.17,29.5
4.66,28.56,22.9
19.69,17.56,42.2
17.29,22.47,29.8
19.17,17.03,48.3
17.33,12.27,46.9
18.44,15.92,42.8
3.69,30.89,14.8
11.59,25.6,38.5
20.35,14.78,44.4
27.54,14.44,46.4
8.58,23.32,26.6
15.12,22.85,39.3
8.74,19.76,33.3
15.22,24.94,35.3
20.17,6.22,57.7
9.52,18.31,35.3
23.72,14.54,44.6
20.48,14.08,55.6
19.62,22.16,38.0
24.22,9.68,43.7
20.49,10.99,46.3
21.39,16.22,45.8
19.25,18.43,30.3
18.46,8.73,45.9
24.58,12.81,61.3
4.1,24.58,26.4
24.12,13.03,55.3
25.43,12.71,46.4
18.78,22.38,37.3
27.03,4.62,69.0
19.95,15.91,54.1
9.58,17.29,30.6
20.41,11.41,45.9
21.43,13.23,51.9
18.52,13.28,42.7
24.08,14.61,53.2
17.2,16.54,44.2
22.64,8.29,53.0
28.25,8.57,62.3
14.4,17.02,36.9
22.03,17.87,47.4
23.5,14.88,39.4
21.93,12.81,46.5
11.89,25.72,30.8
8.57,26.92,38.0
19.17,24.12,42.6
16.4,11.12,55.8
20.03,10.56,58.7
14.27,27.67,29.1
16.85,18.5,35.5
22.08,8.17,52.8
0.0,25.21,21.1
14.53,19.21,39.4
15.5,12.33,43.8
28.88,2.56,60.1
31.96,6.13,53.3
17.7,19.41,41.1
13.47,13.92,40.6
12.61,15.82,42.0
27.71,8.72,63.3
15.52,19.71,39.9
12.37,15.3,41.4
21.38,15.48,49.2
13.47,12.2,43.6
22.06,14.68,42.6
16.36,16.43,31.6
23.06,19.76,44.9
14.24,17.2,39.7
27.85,6.63,59.0
22.18,10.64,52.8
17.09,14.41,44.7
21.45,14.78,53.0
11.56,10.43,40.9
19.33,5.98,57.6
21.94,13.69,44.9
21.53,22.51,52.0
11.91,25.2,29.5
24.88,13.07,49.2
1.73,26.13,24.7
3.45,33.18,20.6
17.67,15.71,41.3
14.96,18.04,34.2
18.27,19.24,47.0
36.38,6.38,71.9
14.65,21.86,35.0
10.2,16.14,37.5
16.3,21.89,47.5
24.97,19.65,50.9
19.59,18.29,42.9
9.96,18.91,42.5
28.4,3.7,53.4
24.31,15.24,51.2
17.97,19.37,32.6
16.78,17.3,44.0
17.82,17.74,45.4
7.96,18.88,32.3
30.5,7.17,48.1
12.95,20.77,34.7
30.98,7.55,56.7
17.36,12.94,47.3
19.99,12.33,46.1
8.56,16.65,37.9
16.55,6.51,43.6
10.74,29.64,21.0
7.0,21.63,31.4
25.26,17.89,49.4
7.37,33.32,19.5
19.7,11.21,55.2
6.31,16.35,24.0
21.5,7.97,54.1
13.52,14.41,34.9
21.32,9.43,54.3
16.27,14.87,46.6
8.36,14.55,26.6
22.18,10.56,60.0
22.29,2.22,62.3
18.21,16.69,44.2
20.68,16.06,41.7
11.72,14.69,43.1
12.96,19.57,33.3
22.79,7.75,58.2
11.63,15.34,38.5
21.9,8.7,44.4
11.96,18.87,35.5
21.03,25.57,37.5
8.01,29.24,29.7
27.88,14.43,60.1
16.96,18.74,43.2
21.57,7.84,56.6
21.23,20.89,45.2
14.01,18.29,36.7
19.25,16.47,41.1
15.24,16.71,38.3
14.5,15.51,45.1
16.13,15.24,40.5
17.2,16.29,41.4
14.36,17.46,28.5
10.33,17.56,35.3
28.56,16.36,64.8
7.88,18.12,36.9
15.08,19.29,32.4
16.49,15.69,49.0
20.01,11.26,61.9
9.83,17.71,27.6
21.97,15.35,42.5
8.9,21.89,37.4
3.88,24.71,23.9
20.23,12.14,53.8
14.14,21.51,44.7
20.74,12.13,45.9
11.05,19.12,36.0
18.64,10.92,50.5
17.89,23.73,38.5
14.92,8.06,43.3
13.88,17.82,31.7
7.61,18.9,30.4
21.96,11.42,61.0
8.41,20.04,38.9
27.99,19.36,48.5
17.31,9.05,44.6
17.12,20.3,39.7
15.62,16.45,38.9
23.21,9.49,52.6
17.18,18.79,41.4
25.52,12.23,43.2
14.77,6.77,45.3
19.62,8.05,59.1
18.83,5.92,53.2
15.75,10.75,49.6
18.4,19.37,38.2
13.78,23.06,28.4
20.65,16.97,56.4
19.03,9.74,56.6
16.53,9.72,43.3
27.61,9.56,51.5
12.2,7.75,54.4
25.89,6.32,55.0
20.02,12.5,56.1
20.22,14.79,39.5
23.57,0.0,63.2
10.17,23.95,30.0
17.94,10.6,55.3
17.85,14.24,50.9
29.58,11.41,55.5
33.35,8.69,67.5
26.09,8.21,62.8
8.44,25.62,31.3
1.09,24.99,24.7
22.12,12.83,54.8
12.58,21.69,32.8
18.38,9.41,44.9
23.46,10.49,55.1
4.44,22.03,25.3
5.87,26.14,19.7
20.2,8.5,48.1
24.22,21.5,45.5
24.79,16.78,42.1
18.48,10.15,45.5
10.57,12.48,34.7
9.45,21.32,26.8
15.36,15.62,43.0
9.99,16.97,33.3
8.7,23.44,25.3
17.66,10.19,51.1
20.85,17.68,44.3
20.82,10.33,49.9
13.86,19.78,33.1
14.11,22.26,37.1
9.89,30.26,33.0
9.68,15.41,34.4
19.02,12.39,47.3
11.9,15.58,35.6
21.87,16.61,49.3
20.82,8.96,49.1
25.5,3.52,69.3
10.71,21.75,28.3
18.75,7.0,55.7
15.79,11.78,43.9
17.53,13.35,44.8
1.79,13.74,27.6
16.4,11.61,39.5
23.86,9.96,53.9
17.67,16.17,44.0
17.58,14.05,46.0
15.56,9.48,41.5
21.82,7.78,58.9
17.59,18.48,44.7
